Day of the week,Duration of Workout,Exercise type,Asleep,Time of Day of Workout,Alcohol?,Screen time,Calories eaten
Monday 4/21,1.5,Push,7.4,Morning,Yes,4.4,3392
Tuesday 4/22,1.3,Pull,6.47,Morning,No,5.5,3336
Wednesday 4/23,,Rest,6.55,,Yes,4.5,2600
Thursday 4/24,,Rest,6.55,,Yes,,3015
Friday 4/25,,Rest,7.92,,Yes,,
Saturday 4/26,1,Pull,6.95,Morning,Yes,,1610
Sunday 4/27,,,,,Yes,4.25,1610
Monday 4/28,,,,,No,2.9,2342
Tuesday 4/29,,,8.87,,Yes,3.58,
Wednesday 4/30,1.5,Push,7.45,Morning,Yes,5,2231
Thursday 5/1,1.5,Push,8,Afternoon,Yes,4.65,1898
Friday 5/2,1.25,Pull,,Afternoon,No,5.36,
Saturday 5/3,0.5,Legs,5,Afternoon,No,4.27,
Sunday 5/4,1.5,Push,7,Afternoon,No,3.7,1376
Monday 5/5,1.5,Pull,,Morning,No,3.67,
Tuesday 5/6,,Rest,7,,No,2.7,
Wednesday 5/7,1.25,Sarms,7,Morning,No,4.92,
Thursday 5/8,,Rest,7.5,,No,0.03,
Friday 5/9,1.5,Pull,6.75,Night,No,0.03,
Saturday 5/10,1.5,Push,8.97,Morning,No,1.7,3165
5/20/2025,1.5,Legs,6.75,Morning,No,6.06,1773
Wed 5/21,1,Pull,,,No,,
Mon 5/26,,Rest,7.22,,Yes,5.05,1761
5/27/2025,1.5,Push,7.53,Evening,No,5.47,3127
Wed 5/28,1.5,Legs,6.82,Morning,Yes,3.58,3077
5/29/2025,1.5,Pull,7.23,Evening,No,6.06,2391
